about1,about2,about_family,age2,birth1,birth2,birth3,birth4,body1,body2,brothers,caste1,caste2,city2,college,complexion1,complexion2,created_for,degree,details,drinking1,drinking2,eating1,eating2,education2,employed1,employed2,family_type1,family_type2,father,fields,gotra,have_children,height1,height2,horoscope,income1,income2,last_login,living,manglik1,manglik2,marital_status1,marital_status2,mother,mother1,mother2,nakshatra,occupation,profileID,raasi,religion1,religion2,sisters,smoking1,smoking2,special1,special2,status1,status2,subcaste,url,values1,values2,weight1,weight2
"I am god fearing and having good analytical skills and tend to give respect to everybody. Very polite in approach, loving and caring the people around me. Need a good partner to be my friend, guide and tend to live for me always whether during bad times or good times.",,,35 to 40,09 May 1958,08:26:00,India,Rest of Tamil Nadu,Average,,,Brahmin - Smartha,,,Institute of Chartered Accountants of India (ICAI),Very Fair ,,Self,CA (Chartered Accountant),"55 yrs, 5ft 6in,<br />
					
					
													
						Brahmin - Smartha,
					
					
													
						Hindu, 
						
					
						
						Telugu ,<br />
																							
					
					
					
				
					
							CA (Chartered Accountant), 				
					
						  	
					
					Finance and Accounts, <br />
					 
					
					Chennai,
					 India",Occasionally,,Vegetarian,,,Others,,,,,CA (Final),Koushika,Yes,5ft 6in,5ft 6in to 5ft 11in,,INR 10 lakhs  to 15 lakhs,,"
						12 Jul 2013",,Do Not Know,Doesn't Matter,Annulled,Doesn't Matter,,Telugu,Doesn't Matter,Uttarashada/ Uthradam,Finance and Accounts,SMM1585424,Sagitiarius,Hindu,Hindu,,Moderate,,None,,,,Others,,,,,
"Family oriented, love reading, being occupied by professional activity and love visiting to places.",,,44 to 54,04 Feb 1954,05:35:00,India,Jalandhar,Average,Slim,2 brothers ,Khatri,,,Other General University,Wheatish ,Fair,Self,MD/ MS (Medicine),"59 yrs, 5ft 9in,<br />
					
					
													
						Khatri,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							MD/ MS (Medicine), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Karnal,
					 India",No,No,Vegetarian,Vegetarian,"MBBS,MD/ MS (Medicine)",Private Sector,"MNC,Central Government,State Government,Private Sector,Public Sector",Nuclear,Doesn't Matter,Passed,Surgery,,Yes,5ft 9in,5ft 1in to 5ft 6in,,INR 10 lakhs  to 15 lakhs,Doesn't Matter,"
						26 Oct 2013",,No,No,Widowed,Doesn't Matter,Passed,Hindi,Doesn't Matter,,Health Care,SMM1434631,,Hindu,Hindu,1 sister ,No,No,None,None,Upper Middle Class,Upper Middle Class,Others,,Moderate,Moderate,90 Kgs,50 to 55 [Kgs]
"I'm a fum loving &amp; caring person. Love to Socialise with friends &amp; family, try &amp; help the poor &amp; needy as much as I can. Like aqdventurous trips, reading books. Love Animals.","Fun Loving, Caring, &amp;  Homely. A life partner who is Understanding &amp;  Caring, who can stand by me in the ups &amp;  downs of life. God Fearing, like to help the poor &amp;  needy.",,35 to 50,06 Jun 1960,,India,,Average,,,Others,,,,Doesn't Matter,,Brother,M.Com. (Commerce),"53 yrs, 5ft 3in,<br />
					
					
													
						Others,
					
					
													
						Christian, 
						
					
																							
					
					
					
				
					
							M.Com. (Commerce), 				
					
						  	
					
					Customer Service/ Call Centre/BPO, <br />
					 
					
					Pune,
					 India",No,No,Non Vegetarian,Doesn't Matter,Other School/ Graduation,,,Others,Others,,,,No,5ft 3in,4ft 11in to 5ft 3in,,Unspecified Don't wish to specify,,"
						02 Sep 2013",,Do Not Know,,Never Married,Never Married,,"English,Hindi,Konkani,Malayalam,Marathi,Tamil,Telugu",,,Customer Service/ Call Centre/BPO,punm1311864,,Christian,Christian,,No,No,,None,Upper Middle Class,Doesn't Matter,Christian - Roman Catholic,,Moderate,Moderate,41 to 55 [Kgs],
"Simple straight forward workaholic nature loving non socialize r adventurist. live and work in Kisumu, Kenya. love fishing and therefore acquired property next to lake Victoria. hate writing about myself.",,,,02 Jun 1957,,South Africa,,Average,,2 brothers ,Protestant,,,,Very Fair ,,Self,BE B.Tech (Engineering),"56 yrs, 6ft 1in,<br />
					
					
													
						Protestant,
					
					
													
						Christian, 
						
					
						
						english ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					Management / Corporate Professionals, <br />
					 
					
					Others,
					 Kenya",No,,Non Vegetarian,,,Private Sector,,Nuclear,,Passed,Electrical,,Yes,6ft 1in,,,Unspecified Don't wish to specify,,"
						23 Oct 2013",No,,,Divorced,,Housewife,english,,,Management / Corporate Professionals,othm681508,,Christian,,3 sisters ,Yes,,None,,Upper Middle Class,,Christian - Born Again,,Modern,,89 Kgs,
"Am pretty affectionate guy. I'd love my partner as much I can. Nothing more to add. Presently I've no Job. In future, No idea of working. I'd like to reside with bride's home. I know driving well. Eating and sleeping better.","A kindhearted angel will do. I've no expectations other than that. I've no income. If someone prefer financially secured grooms, please skip me. I like jovial, witty girls. If you're not interested with my profile, I wish you get success in other partner searches.
",,45 to 50,01 May 1959,,India,Thiruvarur,Heavy,Doesn't Matter,0 brothers ,Vanniyar,,,"Madurai Kamaraj University, Tamil Nadu",Wheatish ,Doesn't Matter,Self,MA (Arts),"54 yrs, 6ft,<br />
					
					
													
						Vanniyar,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							MA (Arts), 				
					
						  	
					
					Others, <br />
					 
					
					Trichy,
					 India",No,Doesn't Matter,Non Vegetarian,Doesn't Matter,Doesn't Matter,Not Working,Doesn't Matter,Nuclear,Doesn't Matter,Passed,Anthropology,,No,6ft,5ft to 6ft,,INR Under 50 thousand,1 lakh to 2 lakhs,"
						05 Sep 2013",,No,,Never Married,Never Married,Passed,Tamil,"Hindi,Telugu,Tamil,Malayalam,Kannada",Dhanista/ Avittam,Others,trim1290642,Aquarius,Hindu,,0 sisters ,No,Doesn't Matter,,None,Middle Class,Doesn't Matter,,,Traditional,Doesn't Matter,100 Kgs,55 to 90 [Kgs]
"I am a Science graduate with partly completed CA and discontinued and in audit profession. I prefer a teaching bride preferably M.Sc, B.Ed or more. I prefer a bride who is a homely and with high values for family.",,,36 to 49,17 Nov 1961,12:42:00,India,Coimbatore,Slim,,1 brother ,Devanga,"Brahmin,Devang Koshthi,Devanga",,Other General University,Fair ,,Self,B.Sc (Science),"51 yrs, 5ft 8in,<br />
					
					
													
						Devanga,
					
					
													
						Hindu, 
						
					
						
						Telugu ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Finance and Accounts, <br />
					 
					
					Chennai,
					 India",No,,Vegetarian,,,Private Sector,,Joint family single parent brothers and or sisters,,Passed,Other B.Sc.,Patanjali,No,5ft 8in,4ft 5in to 5ft 7in,Yes,INR 4 lakhs to 5 lakhs,,"
						12 Oct 2013",Yes,No,No,Divorced,Doesn't Matter,Housewife,Telugu,"Telugu,Tamil,Kannada",Poorvabadrapada/ Puratathi,Finance and Accounts,SMM1474839,Aquarius,Hindu,Hindu,1 sister ,No,,None,,Middle Class,,,,Moderate,,,
"Simple, Eminently Forgettable Human being,likes to lead a quiet and Unassuming life,with a worthy companoin. would n't mind to relocate anywhere as per the wishes and convenions of the partner love to take care only one individual ,no appendages ,looking for a mate who is fit enough 2trek distances like Manassarover.","my dream partner should be fairly good looking not nesscerily very beautifull,but a simple,clean,down to earth ,must be able to understand,appreciate the vageries of life,and accept the facts as they are destined to happen any way, even after your humanly. effort to revers the trend.She should be smiling always with dignity integrity,humlity personified.Her mere presence should evoke a positive attitude to every one around.","None, Livng alone",,06 Jul 1944,01:30:00,India,Rest of Karnataka,Average,,,,,,,Fair ,,Self,Intermediate,"69 yrs, 5ft 6in,<br />
					
					
					
					
													
						Spiritual, 
						
					
						
						Kannada ,<br />
																							
					
					
					
				
					
							Intermediate, 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					India",Yes,,Vegetarian,,,Others,,Others,,,,,No,5ft 6in,,,INR Respectable Amount,,"
						03 Nov 2013",,,,Widowed,Never Married,,Kannada,Kannada,,Business Owner / Entrepreneur,jois_07,,Spiritual,Spiritual,,Moderate,,None,,Middle Class,,,,Liberal,,79 Kgs,
.I am retired primary headmaster from Kabaripada Primary School.Now I am living in a rented house with my son. I am simple and honest man.my daughter has married and live wi.th her husband,She belongs to orissa.she must be simpleadjustable and good behavour.chearfuland lik to marry a nevermarriedlady.she must be broad minded so that she will  agree.,,40 to 59,01 Jun 1949,22:30:00,India,Nayagarh,Average,Average,,Brahmin,Brahmin,Rest of Orissa,,Fair ,Fair,Self,Other School/ Graduation,"64 yrs, 5ft 4in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Oriya ,<br />
																							
					
					
					
				
					
							Other School/ Graduation, 				
					
						  	
					
					Education/ Training, <br />
					 
					
					Bhubaneshwar,
					 India",No,No,Non Vegetarian,Non Vegetarian,Doesn't Matter,State Government,,Nuclear,Doesn't Matter,,,,No,5ft 4in,4ft 11in to 5ft 3in,No,Unspecified 50 thousand to  1 lakh,,"
						27 Oct 2013",,No,No,Widowed,Never Married,,Oriya,Oriya,,Education/ Training,bhum259880,Libra,Hindu,Hindu,,No,No,None,None,Middle Class,Doesn't Matter,,,Liberal,Doesn't Matter,57 Kgs,44 to 60 [Kgs]
Very honest and sensitive. Adjustable.,Looking for a working lady from Mumbai or abroad. Should have no children and be adjustable in any circumstances in joint family. She should be well versed in Indian traditions and culture with a religious bent of mind.,,40 to 45,02 Nov 1961,,,,Average,,,Kayastha,Kayastha,"Thane,Mumbai,Kalyan,Navi Mumbai",,Fair ,,Self,B.Sc (Science),"52 yrs, 5ft 4in,<br />
					
					
													
						Kayastha,
					
					
													
						Hindu, 
						
					
						
						Maithili ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Government Employee, <br />
					 
					
					Mumbai,
					 India",No,,Vegetarian,,,Central Government,,,,,,,No,5ft 4in,5ft to 5ft 1in,,INR 4 lakhs to 5 lakhs,,"
						09 Nov 2013",,No,No,Annulled,Divorced,,Maithili,Hindi,,Government Employee,SMM1387194,,Hindu,Hindu,,No,,None,,,,Karna,,,,,
"Doing business like contract, digital banner office, lay out business and rental income. Self earned by hard work and without any help. Presently living with mother and brother and sisters are living separately in their houses.","I m looking for a simple, caring, understanding and homely life partner. She should slim personality and kamma and kappu communities. Qualification, Income does not matter. She must be without any issues.   ",,41 to 53,01 Nov 1957,09:55:00,India,Chennai,Average,Average,1 brother ,Kamma,Kamma,,,Fair ,Fair,Friend,12th,"56 yrs, 5ft 8in,<br />
					
					
													
						Kamma,
					
					
													
						Hindu, 
						
					
						
						Telugu ,<br />
																							
					
					
					
				
					
							12th, 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Chennai,
					 India",No,No,Non Vegetarian,Doesn't Matter,"12th,10th",Private Sector,Doesn't Matter,Nuclear,Nuclear,Passed,Commerce,,No,5ft 8in,5ft 1in to 5ft 6in,Yes,INR 50 lakhs and above.,Doesn't Matter,"
						11 Oct 2013",Yes,No,No,Widowed,Doesn't Matter,Housewife,Telugu,Telugu,,Business Owner / Entrepreneur,SMM1475287,,Hindu,Hindu,2 sisters ,No,No,None,None,Upper Middle Class,Doesn't Matter,,,Traditional,Traditional,75 Kgs,41 to 66 [Kgs]
Living alone in Ambala. Kids are Canadian citizens living in Canada. Working as a senior officer with State Government.,,Living alone in India. Parents are with our Lord Jesus. Children living in Canada. So may go and settle down in Canada after finishing my government job.,30 to 60,05 Oct 1957,,India,,Average,,1 brother ,Others,,,,Wheatish ,,Self,Ph.D. (Doctorate),"56 yrs, 5ft 7in,<br />
					
					
													
						Others,
					
					
													
						Christian, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							Ph.D. (Doctorate), 				
					
						  	
					
					Admin/Secretarial, <br />
					 
					
					Ambala,
					 India",Occasionally,,Non Vegetarian,,B.A. (Arts),State Government,,Nuclear,,,Literature,,Yes,5ft 7in,,,INR 2 lakhs to 3 lakhs,,"
						11 Nov 2013",No,,,Divorced,Never Married,,Hindi,Hindi,,Admin/Secretarial,jullian123,,Christian,,1 sister ,No,,,,Middle Class,,Christian - Born Again,,Moderate,,,
"A man with head and legs, however heart is not at the right place. Looking foe a vegitarian with love and cmpassion to all living things in existance.",,,,27 Mar 1949,01:10:00,Canada,Others,Average,,,,,,,Wheatish ,,Self,Other Diploma,"64 yrs, 5ft 8in,<br />
					
					
					
					
													
						Buddhist, 
						
					
						
						Singhalese ,<br />
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					Canada",Occasionally,,Vegetarian,,,Others,,Others,,,,,Yes,5ft 8in,,,US$ Don't wish to specify,,"
						02 Nov 2013",,,,Divorced,,,Singhalese,,,"Banking, Insurance &amp; Financial Services",MKR_1,,Buddhist,,,No,,None,,Middle Class,,,,International,,,
I   am   down   to   earth   Software   Consultant    having   a   20+   Years   Experience.   Seeking   a   Life   Partner   Who   is   more   Friend.,,,40 to 60,20 Mar 1960,06:27:00,India,Nasik,Average,,,Vaishnav Vania,,,,Wheatish ,,Friend,Others,"53 yrs, 5ft 11in,<br />
					
					
													
						Vaishnav Vania,
					
					
													
						Hindu, 
						
					
						
						Gujarati ,<br />
																							
					
					
					
				
					
							Others, 				
					
						  	
					
					IT, <br />
					 
					
					Ahmedabad,
					 India",Occasionally,,Vegetarian,,,,,Nuclear,,,,,No,5ft 11in,,,INR 7 lakhs to 10 lakhs,,"
						02 Nov 2013",,Do Not Know,,Annulled,Doesn't Matter,,Gujarati,,,IT,DhirenSheth_in,,Hindu,,,Moderate,,None,,Upper Middle Class,,,,Moderate,,72 Kgs,
I'm a simple and down to earth person; non smoker and non drinker; love to watch comedy programs; love to listen music specially devotional and reading magazines. I am grateful to God that he has given me such a wonderful mother.,,,40 to 49,10 Sep 1962,15:00:00,India,Delhi,Average,Slim,1 brother ,Arora,,"Noida,Gurgaon,Faridabad,Greater Noida,Ghaziabad,Delhi","Other College, Delhi University",Fair ,Fair,Self,B.Com (Commerce),"51 yrs, 5ft 7in,<br />
					
					
													
						Arora,
					
					
													
						Hindu, 
						
					
						
						Punjabi ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Admin/Secretarial, <br />
					 
					
					Delhi,
					 India",No,No,Vegetarian,Vegetarian,"B.Ed (Education),Arts/ Graphic Designing,Fashion/ Design",Private Sector,Doesn't Matter,Joint family only mother,Doesn't Matter,Passed,Commerce Honors,dont know,No,5ft 7in,5ft to 5ft 4in,,Unspecified Don't wish to specify,Doesn't Matter,"
						22 Oct 2013",Yes,No,Yes,Divorced,Doesn't Matter,Housewife,Punjabi,"Hindi,Punjabi,English",Rohini,Admin/Secretarial,newm607366,Virgo,Hindu,Hindu,1 sister ,No,No,,None,Middle Class,Middle Class,,,Liberal,Liberal,70 Kgs,41 to 51 [Kgs]
"I am down to earth, very friendly and respectful person.","Looking for someone who is young looking with good features and soft voice,  great energy, and varied interests. Someone who wants to live the life to the fullest and will not leave me stranded.
",,37 to 45,09 Apr 1957,,United States of America,Delhi,Slim,Slim,,Sindhi,Sindhi,,,Fair ,Doesn't Matter,Self,Masters,"56 yrs, 5ft 3in,<br />
					
					
													
						Sindhi,
					
					
													
						Hindu, 
						
					
						
						Sindhi ,<br />
																							
					
					
					
				
					
							Masters, 				
					
						  	
					
					Finance and Accounts, <br />
					 
					
					Baltimore,
					 United States of America",No,No,Non Vegetarian,Doesn't Matter,Other Post Graduation,Private Sector,,Nuclear,,,,,No,5ft 3in,4ft 11in to 5ft 3in,No,US$ 50 thousand to  1 lakh,,"
						11 Nov 2013",,Do Not Know,Do Not Know,Annulled,Doesn't Matter,,Sindhi,Sindhi,,Finance and Accounts,marm148550,,Hindu,Hindu,,No,No,None,None,Upper Middle Class,,,,Liberal,,128 Pounds,
"I am a retired Bank Officer having two daughters and one son all married and well settled. I lost my wife in an accident in 2003 therefore in search of a good partner. At present I am in USA shall be back on Deepawali. I am a handsome personality and maintaining good health. My height is 5'41/2"" and weight is 68kg. I keep active that is away from any illness.",She should be healthy and free from any ailments. Should be well educated can understand and share the family happinees nicely.Should be willing to travel abroad as well as I used to visit USA once in 2 years as one of my daughter lives in usa.,,55 to 65,16 Jun 1943,,India,,Average,,,Arya Vysya,,,,Whetish Medium,,Self,M.Com. (Commerce),"70 yrs, 5ft 4in,<br />
					
					
													
						Arya Vysya,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							M.Com. (Commerce), 				
					
						  	
					
					Non Working, <br />
					 
					
					Moradabad,
					 India",Doesn't Matter,,Doesn't Matter,,,,,,,,,,Yes,5ft 4in,5ft to 5ft 4in,,Unspecified Don't wish to specify,,"
						22 Oct 2013",,Do Not Know,Do Not Know,Widowed,Doesn't Matter,,Hindi,Hindi,,Non Working,uttm593735,,Hindu,Hindu,,Doesn't Matter,,,,,,,,,,,
"I am simple, cool and caring, love to travel, visit places and at times just doing nothing; South Indian food is my weakness. In my free time I like to read a good travelogue, watch some comedy or discovery kind of channel. I am not very ambitious and certainly not in a kind of race; love the life as it come. I am Delhi based, Proprietor &amp; Principal Consultant of 
a consulting &amp; contracting setup, working in the field of Civil Engineering and Interiors projects.","I am looking for someone who is reasonably attractive, good at heart and love the journey as much as the destinations in life. One who would laugh with me, for all the reasons or without any reasons. ","Father is retired as a Director of School Educational Govt. of Nagaland, Mother is a housewife. I am third in the six siblings, all married except my younger brother. I live independently in Delhi. ",34 to 42,26 Jun 1962,18:45:00,India,Rest of Nagaland,Average,Slim,2 brothers ,Agarwal,,,"Bharathiar University, Tamil Nadu",Fair ,Doesn't Matter,Self,BE B.Tech (Engineering),"51 yrs, 5ft 6in,<br />
					
					
													
						Agarwal,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Delhi,
					 India",Occasionally,,Vegetarian,,,Others,,Others,Doesn't Matter,Retired,Civil,mittal,No,5ft 6in,5ft to 5ft 6in,,INR 15 lakhs to 20 lakhs,,"
						05 Nov 2013",,Do Not Know,,Never Married,Never Married,Housewife,Hindi,Hindi,,Business Owner / Entrepreneur,shailesh_mittal,,Hindu,Hindu,3 sisters ,No,,,None,Middle Class,Doesn't Matter,Bisa,,Moderate,Doesn't Matter,66 Kgs,
"I am a very modest, practical person, looking for a companion, who likes to enjoy life and all its benefits, love to travel when work permits as i am working full time. Am well settled in Australia.",,,48 to 53,12 Jan 1954,,,,,,,Catholic,,,"Visveswaraiah Technological University, Karnataka",Wheatish ,,Self,Other Diploma,"59 yrs, 5ft 10in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					
					Manufacturing/ Engineering/ R&D;, <br />
					 
					
					Melbourne,
					 Australia",Occasionally,,Non Vegetarian,,,State Government,,,,,Engineering,,No,5ft 10in,5ft 2in to 5ft 7in,,US$ $40k to 60k,,"
						06 Sep 2013",,,,Divorced,Doesn't Matter,,English,Doesn't Matter,,Manufacturing/ Engineering/ R&D;,SMM1533090,,Christian,,,No,,None,,,,Christian - Roman Catholic,,,,,
"I am a pension holder from Karnataka govt. Sr. Labor Inspector, labor department. I got retired in Nov, 2007. I am living with my son. Free from all burdens of life, needs a lovely, handsome, educated (Graduate), humble, trustworthy and like minded. Working women (widow or childless) preferably, religious minded, healthy and an average body.",,My wife passed away 4 months back. My both children are married.,45 to 50,05 Nov 1949,01:54:00,India,Bangalore,Average,,,Sunni,Sunni,Bangalore,Other General University,Fair ,,Self,M.Com. (Commerce),"64 yrs, 5ft 4in,<br />
					
					
													
						Sunni,
					
					
													
						Muslim, 
						
					
						
						Urdu ,<br />
																							
					
					
					
				
					
							M.Com. (Commerce), 				
					
						  	
					
					Government Employee, <br />
					 
					
					Bangalore,
					 India",No,,Non Vegetarian,,,State Government,,,,,Other M.Com,,Yes,5ft 4in,5ft 2in to 5ft 7in,,INR 1 lakh to 2 lakhs,,"
						02 Nov 2013",,,,Widowed,Doesn't Matter,,Urdu,Urdu,,Government Employee,SMM1399481,,Muslim,Muslim,,No,,None,,,,Muslim - Sheikh,,,,65 Kgs,
"i am a simple man,i like simlicity, honesty.i want simple and homely wife,",,,21 to 26,11 Aug 1960,,,,Average,,,Scheduled Caste,Scheduled Caste,,Karanataka University,Very Fair ,,Brother,MA (Arts),"53 yrs, 5ft 9in,<br />
					
					
													
						Scheduled Caste,
					
					
													
						Hindu, 
						
					
						
						Kannada ,<br />
																							
					
					
					
				
					
							MA (Arts), 				
					
						  	
					
					Government Employee, <br />
					 
					
					Bijapur,
					 India",No,,Non Vegetarian,,,State Government,,,,,Economics,,No,5ft 9in,5ft to 5ft 6in,,INR 3 lakhs to 4 lakhs,,"
						06 Nov 2013",,Do Not Know,Doesn't Matter,Never Married,Never Married,,Kannada,Kannada,,Government Employee,SMM1389043,,Hindu,Hindu,,No,,None,,,,Others,,,,,
"I can say categorically that one brings maturity, sincerity, stability and not to mention tons of experience.
Well all i am interested at this stage is to forge a good friendship with (preferably) opposite sex and see how things go. to me good, honest friendship is very vital to be a companion for life to get settled.
well less of the philosophy and lets see if there is one who can reciprocate.",,,30 to 45,26 Dec 1956,16:05:00,India,Navsari,Average,,,Patel,,,"Sardar Patel University, Gujarat",Whetish Medium ,,Self,BBA/BBM/BBS,"56 yrs, 5ft 8in,<br />
					
					
													
						Patel,
					
					
													
						Hindu, 
						
					
						
						Gujarati ,<br />
																							
					
					
					
				
					
							BBA/BBM/BBS, 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Lanark,
					 United Kingdom",No,,Vegetarian With Eggs,,,Others,,,,,HR/ Industrial Relations,,Yes,5ft 8in,4ft 10in to 5ft 3in,,POUND Don't wish to specify,,"
						04 Sep 2013",,No,,Annulled,Doesn't Matter,,Gujarati,Doesn't Matter,,Business Owner / Entrepreneur,SMM1534736,,Hindu,,,Yes,,None,,,,,,,,,
I am hard working and simple person who do stand on my own feet and would like to have a person who understands me.,,"Father is no more, lost in childhood itself. Mother is a housewife. We are four brothers, one is a priest and one is married. Youngest one is yet to settle. All are independent and well settled. ",35 to 40,30 Oct 1962,11:15:00,India,Mangalore,Average,Doesn't Matter,,Catholic,,,,Fair ,Doesn't Matter,Brother,12th,"51 yrs, 5ft 10in,<br />
					
					
					
					
													
						Christian, 
						
					
						
						Konkani ,<br />
																							
					
					
					
				
					
							12th, 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Mangalore,
					 India",No,Doesn't Matter,Non Vegetarian,Non Vegetarian,,Others,,Others,Doesn't Matter,,,,No,5ft 10in,5ft 1in to 5ft 8in,,INR 2 lakhs to 3 lakhs,,"
						01 Nov 2013",,Do Not Know,,Never Married,Never Married,,Konkani,Konkani,,Business Owner / Entrepreneur,alphasa1,,Christian,Christian,,No,No,None,None,Middle Class,Doesn't Matter,,,Moderate,Moderate,70 Kgs,
"qualified rich proffessional bride, also broad minded adjustable adoftable like minded independent wish to settle in karantaka or abroad. immediate and simple preferably register marriage.",,,,26 Apr 1959,,India,,,,,,,,,,,Self,Others,"54 yrs, 5ft 3in,<br />
					
					
					
					
													
						Others, 
						
					
																							
					
					
					
				
					
							Others, 				
					
						  	
					
					Admin/Secretarial, <br />
					 
					
					Bagalkot,
					 India",,,,,,,,,,,,,No,5ft 3in,,,INR 50 thousand to  1 lakh,,"
						10 Nov 2013",,,,Divorced,,,,,,Admin/Secretarial,bagm1377268,,Others,,,,,,,,,,,,,,
"I sri Tapan Kr. Karmakar residing at own flat in Saltlake Kolkata, working in KMDA (govt. of W.B.) as Assistant Engineer Civil My birth place Bishnupur Dist Bankura, I have two brother one sister(marred) my father &amp; mother living at Bishnupur,",,,38 to 45,08 Feb 1960,,India,,Average,Average,,Kayastha,,,,Fair ,Fair,Self,Other Diploma,"53 yrs, 5ft 7in,<br />
					
					
													
						Kayastha,
					
					
													
						Hindu, 
						
					
						
						Bengali ,<br />
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					
					Construction, <br />
					 
					
					Kolkata,
					 India",Occasionally,Occasionally,Non Vegetarian,Non Vegetarian,,State Government,,Nuclear,,,,,No,5ft 7in,5ft 2in to 5ft 6in,,INR 3 lakhs to 4 lakhs,,"
						21 Oct 2013",,Do Not Know,,Never Married,Never Married,,Bengali,Bengali,,Construction,kolm591431,,Hindu,Hindu,,No,No,None,None,Middle Class,,,,Moderate,,72 Kgs,50 to 61 [Kgs]
,,,22 to 27,14 Dec 1946,,,,Athletic,,,Sunni,,,"Christian Medical College (CMC), Vellore",Whetish Medium ,,Self,BHM (Hotel Management),"66 yrs, 5ft 9in,<br />
					
					
													
						Sunni,
					
					
													
						Muslim, 
						
					
						
						Urdu ,<br />
																							
					
					
					
				
					
							BHM (Hotel Management), 				
					
						  	
					
					Customer Service/ Call Centre/BPO, <br />
					 
					
					Bangalore,
					 India",No,,Non Vegetarian,,,Others,,,,,,,No,5ft 9in,5ft 1in to 5ft 7in,,INR 4 lakhs to 5 lakhs,,"
						28 May 2013",,,,Divorced,Widowed,,Urdu,Doesn't Matter,,Customer Service/ Call Centre/BPO,SMM1606527,,Muslim,Muslim,,Yes,,None,,,,Muslim - Pathan,,,,,
"I am Broad-minded with International Outlook. I am sophisticated, professionally  qualified and widely traveled. I am Honest, Sincere and Frank. I am adjustable and adoptable with keen sense of Humour. I am financially secure with NO Family Liability or Responsibility. If you are looking for Soul mate who will Love you with Passion, Care for you with Concern and Treat you with Respect and Dignity which you so rightly desire and deserve then we must know each other so that we can start our new life which is full of Love with Warmth and Joy with Fulfillment.",,,40 to 55,28 Jun 1944,,India,,Slim,,,Brahmin,,,,Fair,,Self,MBA/PGDM,"69 yrs, 5ft 7in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Gujarati ,<br />
																							
					
					
					
				
					
							MBA/PGDM, 				
					
						  	
					
					Health Care, <br />
					 
					
					Coram,
					 United States of America",,,,,,Others,,,,,International Business,,Yes,5ft 7in,5ft to 5ft 5in,,Unspecified Don't wish to specify,,"
						20 Oct 2013",,Do Not Know,,Widowed,Doesn't Matter,,Gujarati,Gujarati,,Health Care,delm659154,,Hindu,Hindu,,,,,None,,,,,,,,
